"Date","xCalipatriaMulberry","xMeloland","xSeeley","CalipatriaMulberry","Meloland","Seeley","CF.CM","CF.Mel","CF.Seel","CF.daily"
2010-01-15,6.54746198654175,6.82757377624512,6.60296201705933,2.92,2.67,2.83,0.445974334177432,0.391061318046773,0.42859552920166,0.418517826112102
2010-01-31,3.33710813522339,3.38934898376465,3.43220543861389,2.58,2.59,2.63,0.773124482472694,0.764158548560913,0.766271147528434,0.768641515516804
2010-02-16,6.25562906265259,6.11636257171631,6.50261640548706,3.4,3.5,3.53,0.543510487266374,0.572235533613546,0.542858409581304,0.55787301043996
2010-03-20,7.52284622192383,7.06103324890137,8.491774559021,4.92,5.3,5.01,0.654007785731635,0.750598363323757,0.589982690329169,0.702303074527696
2010-05-07,11.0917816162109,10.4581298828125,11.3075761795044,7.22,6.86,7.34,0.650932397501207,0.655949015442438,0.649122312640631,0.653440706471823
2010-06-08,13.7537288665771,13.1794919967651,14.0418539047241,8.35,9.61,10.4,0.607108085451014,0.729163157605676,0.740642942916613,0.668135621528345
2010-06-24,12.7645921707153,9.53714847564697,14.4095859527588,6.95,8.32,10.28,0.544474896420488,0.872378155928373,0.713413975509257,0.70842652617443
2010-07-10,11.6817283630371,12.5864849090576,11.7919893264771,8.31,8.04,8.14,0.711367337242166,0.638780410741538,0.690299132286604,0.675073873991852
2010-08-11,12.7960271835327,10.8096647262573,13.2972688674927,8.06,8.15,9.69,0.629883000746705,0.753954928889067,0.728721070210799,0.691918964817886
2010-08-27,13.4624853134155,14.0405797958374,12.4421529769897,6.27,6.46,6.06,0.465738669646077,0.460094960032576,0.487053969775748,0.462916814839326
2010-09-12,9.43105220794678,9.86187934875488,8.84560298919678,5.95,6.01,6.41,0.630894609509893,0.609417311595766,0.724653820415476,0.62015596055283
2010-10-14,6.97273015975952,7.10065793991089,6.82136487960815,5.32,4.5,4.55,0.762972304693844,0.633744089362017,0.667021934803958,0.698358197027931
2010-10-30,9.02450942993164,8.11577701568604,9.94554424285889,4.3,4.65,5.61,0.476480193564668,0.572958077952679,0.564071695123985,0.524719135758674
2010-11-15,7.3717098236084,6.6120753288269,7.77015161514282,3.24,3.46,3.38,0.439518114186166,0.523285024433299,0.434997946940045,0.481401569309733
2010-12-01,5.22267770767212,5.56855821609497,4.87038040161133,2.54,2.75,2.79,0.486340559799188,0.493844168146001,0.572850531157063,0.490092363972595
2011-01-18,6.18557024002075,5.75168561935425,6.5257453918457,2.46,2.77,2.93,0.397699792346348,0.481597949421824,0.448990854540725,0.439648870884086
