"Date","xETr","ETr","Station","Year","Month","Season","Y.Seas","Residuals"
"2010-09-12",9.43105255891101,5.95,"CM",2010,9,"Fall","2010-Fall",0.0428393473929499
"2010-10-14",6.97273013540295,5.32,"CM",2010,10,"Fall","2010-Fall",0.892898841827904
"2010-10-30",9.02450989544635,4.3,"CM",2010,10,"Fall","2010-Fall",-1.3623972630696
"2010-11-15",7.37170980962129,3.24,"CM",2010,11,"Fall","2010-Fall",-1.42731116857047
"2011-09-07",10.4708683301475,6.99,"CM",2011,9,"Fall","2011-Fall",0.456807062138189
"2011-09-15",7.63072339443879,5.23,"CM",2011,9,"Fall","2011-Fall",0.40674691277359
"2011-10-01",7.22788671534015,5.74,"CM",2011,10,"Fall","2011-Fall",1.15927907450516
"2011-10-09",6.21092318293372,4.73,"CM",2011,10,"Fall","2011-Fall",0.761552923223645
"2011-10-17",6.06239365360902,5.54,"CM",2011,10,"Fall","2011-Fall",1.66097672621173
"2011-11-26",7.09758795656137,3.56,"CM",2011,11,"Fall","2011-Fall",-0.94227315428328
"2012-09-25",12.8555101152647,6.5,"CM",2012,9,"Fall","2012-Fall",-1.46889221031628
"2012-10-11",8.00702746792392,5.58,"CM",2012,10,"Fall","2012-Fall",0.530188992042656
"2012-10-27",11.5550930300418,4.23,"CM",2012,10,"Fall","2012-Fall",-2.95596209695751
"2012-11-12",6.80140707364236,3.12,"CM",2012,11,"Fall","2012-Fall",-1.2039542634647
"2012-11-28",3.57561296298805,2.5,"CM",2012,11,"Fall","2012-Fall",0.118169826894933
"2013-09-28",11.3215459318554,5.17,"CM",2013,9,"Fall","2013-Fall",-1.87535255088533
"2013-10-06",10.704520044883,5.39,"CM",2013,10,"Fall","2013-Fall",-1.28386546945423
"2013-10-14",9.17095407341953,4.84,"CM",2013,10,"Fall","2013-Fall",-0.910565557814533
"2013-10-22",4.24864568924718,3.99,"CM",2013,10,"Fall","2013-Fall",1.20296322460402
"2013-10-30",5.59953396293517,3.1,"CM",2013,10,"Fall","2013-Fall",-0.500353611411165
"2014-09-15",10.775955106899,6.21,"CM",2014,9,"Fall","2014-Fall",-0.506873717990421
"2014-10-09",5.71480505234145,4.2,"CM",2014,10,"Fall","2014-Fall",0.530246187590723
"2014-11-02",7.531209555202,3.51,"CM",2014,11,"Fall","2014-Fall",-1.25333970841912
