"Date","xETr","ETr","Station","Year","Month","Season","Y.Seas","Residuals"
"2010-03-20",7.52284613363724,4.92,"CM",2010,3,"Spring","2010-Spring",0.161695579618977
"2010-05-07",11.0917814854569,7.22,"CM",2010,5,"Spring","2010-Spring",0.312979608933806
"2011-03-07",9.65275326623797,5.18,"CM",2011,3,"Spring","2011-Spring",-0.860637951461106
"2011-03-15",9.2961170577558,4.19,"CM",2011,3,"Spring","2011-Spring",-1.63592128070395
"2011-03-31",13.2616492393743,6.01,"CM",2011,3,"Spring","2011-Spring",-2.20341264463837
"2011-04-16",11.6611551021764,6.17,"CM",2011,4,"Spring","2011-Spring",-1.07981790991399
"2011-05-10",11.0035845701074,6.67,"CM",2011,5,"Spring","2011-Spring",-0.183920488183387
"2011-05-26",13.5351551267555,8.69,"CM",2011,5,"Spring","2011-Spring",0.31192018984608
"2012-03-01",5.89319303089477,4.38,"CM",2012,3,"Spring","2012-Spring",0.602845783629824
"2012-04-02",11.0365587044959,6.17,"CM",2012,4,"Spring","2012-Spring",-0.703772920966727
"2012-05-20",14.5901291864269,7.06,"CM",2012,5,"Spring","2012-Spring",-1.9532383062356
"2013-03-04",8.87132013554418,4.33,"CM",2013,3,"Spring","2013-Spring",-1.24016771806555
"2013-04-05",11.0632581699976,6.44,"CM",2013,4,"Spring","2013-Spring",-0.449847621760343
"2013-04-21",9.17419856515886,7.24,"CM",2013,4,"Spring","2013-Spring",1.48748106098637
"2013-04-29",11.3869967586679,7.7,"CM",2013,4,"Spring","2013-Spring",0.615242073840817
"2013-05-15",13.8585176883744,5.82,"CM",2013,5,"Spring","2013-Spring",-2.75276372341616
"2013-05-31",11.0036778765481,7.54,"CM",2013,5,"Spring","2013-Spring",0.686023335668957
"2014-03-15",11.0959304753026,6.16,"CM",2014,3,"Spring","2014-Spring",-0.749518335092868
"2014-03-23",5.76638563503696,4.78,"CM",2014,3,"Spring","2014-Spring",1.07919154218826
"2014-03-31",10.480082359331,5.95,"CM",2014,3,"Spring","2014-Spring",-0.588740343378935
"2014-05-10",10.4395151485678,7.36,"CM",2014,5,"Spring","2014-Spring",0.845683582823201
"2014-05-26",11.6442557363893,7.78,"CM",2014,5,"Spring","2014-Spring",0.540356535286505
"2015-03-10",4.85027835648764,4.06,"CM",2015,3,"Spring","2015-Spring",0.910743796917727
"2015-04-03",11.4115782867966,5.09,"CM",2015,4,"Spring","2015-Spring",-2.00955749994442
"2015-04-11",7.64235732137071,5,"CM",2015,4,"Spring","2015-Spring",0.169742581751551
"2015-05-05",10.5235738450881,6.56,"CM",2015,5,"Spring","2015-Spring",-0.00492486083943292
"2010-03-20",7.06103301675596,5.3,"Mel",2010,3,"Spring","2010-Spring",0.81973514097129
"2010-05-07",10.4581301376416,6.86,"Mel",2010,5,"Spring","2010-Spring",0.334476228143434
"2011-03-07",8.65194183695704,5.66,"Mel",2011,3,"Spring","2011-Spring",0.221911349591308
"2011-03-15",8.52035237463104,4.84,"Mel",2011,3,"Spring","2011-Spring",-0.51886379722395
"2011-03-31",13.6185213938442,6.65,"Mel",2011,3,"Spring","2011-Spring",-1.77827136921888
"2011-04-16",11.7420931815223,6.64,"Mel",2011,4,"Spring","2011-Spring",-0.658547552393629
"2011-05-10",10.4227273290465,7.18,"Mel",2011,5,"Spring","2011-Spring",0.675790870392869
"2011-05-26",11.3078693231063,10.79,"Mel",2011,5,"Spring","2011-Spring",3.75288159872711
"2012-03-01",4.73785898025188,4.95,"Mel",2012,3,"Spring","2012-Spring",1.86842709328483
"2012-04-02",10.8232592101291,6.23,"Mel",2012,4,"Spring","2012-Spring",-0.515353662867436
"2012-05-20",7.801134,7.21,"Mel",2012,5,"Spring","2012-Spring",2.28414937214938
"2013-03-04",8.01033604139961,4.5,"Mel",2013,3,"Spring","2013-Spring",-0.551802970256065
"2013-04-05",10.3072909909435,7.48,"Mel",2013,4,"Spring","2013-Spring",1.04529056114879
"2013-04-21",10.1501981746275,7.16,"Mel",2013,4,"Spring","2013-Spring",0.819869983307835
"2013-04-29",9.16014857773237,7.77,"Mel",2013,4,"Spring","2013-Spring",2.02594000725331
"2013-05-15",12.7819500793598,9.89,"Mel",2013,5,"Spring","2013-Spring",1.96539540163849
"2013-05-31",11.2052680387059,6.76,"Mel",2013,5,"Spring","2013-Spring",-0.215346192849016
"2014-03-15",9.43294702970394,5.94,"Mel",2014,3,"Spring","2014-Spring",0.0316987608461275
"2014-03-23",5.677784260253,4.64,"Mel",2014,3,"Spring","2014-Spring",0.992534954230138
"2014-03-31",9.89962454984292,7,"Mel",2014,3,"Spring","2014-Spring",0.810730533116501
"2014-05-10",9.80349353629168,8.3,"Mel",2014,5,"Spring","2014-Spring",2.16860724528233
"2014-05-26",12.2092176605428,7.97,"Mel",2014,5,"Spring","2014-Spring",0.390215123467792
"2015-03-10",5.64773305161849,4.7,"Mel",2015,3,"Spring","2015-Spring",1.07062760807954
"2015-04-03",10.8208076619941,6.16,"Mel",2015,4,"Spring","2015-Spring",-0.583877681906366
"2015-04-11",6.46757279471111,5.51,"Mel",2015,4,"Spring","2015-Spring",1.3870342599996
"2015-05-05",9.43737598560459,6.02,"Mel",2015,5,"Spring","2015-Spring",0.109032260240467
"2010-03-20",8.49177451288827,5.01,"Seel",2010,3,"Spring","2010-Spring",-0.331658187740603
"2010-05-07",11.3075759184614,7.34,"Seel",2010,5,"Spring","2010-Spring",0.303058246153922
"2011-03-07",10.6168351417667,5.67,"Seel",2011,3,"Spring","2011-Spring",-0.951073829051464
"2011-03-15",10.7466054927009,5.68,"Seel",2011,3,"Spring","2011-Spring",-1.01920346662855
"2011-03-31",13.3556262003553,6.23,"Seel",2011,3,"Spring","2011-Spring",-2.0399924862523
"2011-04-16",12.1691747281566,6.43,"Seel",2011,4,"Spring","2011-Spring",-1.12567659777411
"2011-05-10",11.5914629903796,7.24,"Seel",2011,5,"Spring","2011-Spring",0.0321409766688705
"2011-05-26",15.0453420833344,11.88,"Seel",2011,5,"Spring","2011-Spring",2.59269586594034
"2012-03-01",7.20030400561453,6.46,"Seel",2012,3,"Spring","2012-Spring",1.89588554199748
"2012-04-02",11.0437124843037,6.37,"Seel",2012,4,"Spring","2012-Spring",-0.50807993115562
"2012-05-20",8.20309335370633,7.59,"Seel",2012,5,"Spring","2012-Spring",2.4221454136202
"2013-03-04",10.5122119631035,4.52,"Seel",2013,3,"Spring","2013-Spring",-2.03808431740821
"2013-04-05",13.2847682835875,8.18,"Seel",2013,4,"Spring","2013-Spring",-0.0473317142293989
"2013-04-21",10.1824962693703,7,"Seel",2013,4,"Spring","2013-Spring",0.640424567475022
"2013-04-29",14.1751428813258,8.81,"Seel",2013,4,"Spring","2013-Spring",0.0466086686981825
"2013-05-15",15.2700035724904,10.68,"Seel",2013,5,"Spring","2013-Spring",1.2574359964946
"2013-05-31",9.88349092081724,6,"Seel",2013,5,"Spring","2013-Spring",-0.179556041748209
"2014-03-15",12.5502602780288,6.2,"Seel",2014,3,"Spring","2014-Spring",-1.58511325786666
"2014-03-23",7.2924474411657,4.9,"Seel",2014,3,"Spring","2014-Spring",0.280409594118054
"2014-03-31",11.7522302444701,7.12,"Seel",2014,3,"Spring","2014-Spring",-0.184650680330837
"2014-05-10",12.7878336681386,7.07,"Seel",2014,5,"Spring","2014-Spring",-0.858146876359771
"2014-05-26",10.1699457262488,7.84,"Seel",2014,5,"Spring","2014-Spring",1.48798075714716
"2015-03-10",6.60311272770804,5.31,"Seel",2015,3,"Spring","2015-Spring",1.10543098339566
"2015-04-03",11.5847262388908,6.42,"Seel",2015,4,"Spring","2015-Spring",-0.783803089533634
"2015-04-11",8.15127710049691,6.31,"Seel",2015,4,"Spring","2015-Spring",1.17334194699405
"2015-05-05",11.8145516334332,7.31,"Seel",2015,5,"Spring","2015-Spring",-0.032171943839301
