"Date","xETr","ETr","Station","Year","Month","Season","Y.Seas","Residuals"
"2010-06-08",13.7537286933579,8.35,"CM",2010,6,"Summer","2010-Summer",-0.159674380251341
"2010-06-24",12.7645921585475,6.95,"CM",2010,6,"Summer","2010-Summer",-0.96415407516886
"2010-07-10",11.6817283725984,8.31,"CM",2010,7,"Summer","2010-Summer",1.0477957310273
"2010-08-11",12.7960269315274,8.06,"CM",2010,8,"Summer","2010-Summer",0.126920281164792
"2010-08-27",13.4624857349372,6.27,"CM",2010,8,"Summer","2010-Summer",-2.0643284200649
"2011-06-11",11.8101913432688,7.88,"CM",2011,6,"Summer","2011-Summer",0.54045321582023
"2011-06-27",16.0931966626979,8.02,"CM",2011,6,"Summer","2011-Summer",-1.89817627033581
"2011-07-13",12.0900717927349,7.97,"CM",2011,7,"Summer","2011-Summer",0.461948176539053
"2011-07-21",13.1716066840973,8.18,"CM",2011,7,"Summer","2011-Summer",0.0207984456427596
"2011-08-06",13.4957315443315,7.59,"CM",2011,8,"Summer","2011-Summer",-0.764344417711779
"2011-08-14",12.5292387284801,7.78,"CM",2011,8,"Summer","2011-Summer",0.00754299246883693
"2011-08-22",9.71317361811334,6.82,"CM",2011,8,"Summer","2011-Summer",0.742985324885765
"2011-08-30",13.2709839490366,7.75,"CM",2011,8,"Summer","2011-Summer",-0.469032707137638
"2012-06-21",14.52321825872,9.4,"CM",2012,6,"Summer","2012-Summer",0.427046138508933
"2012-07-07",12.770352188879,9.34,"CM",2012,7,"Summer","2012-Summer",1.42237803652697
"2012-08-08",11.9060456564633,7.98,"CM",2012,8,"Summer","2012-Summer",0.582743094084607
"2012-08-24",10.1244992149984,7.12,"CM",2012,8,"Summer","2012-Summer",0.79534231876409
"2013-06-16",11.4556388111712,8.19,"CM",2013,6,"Summer","2013-Summer",1.06391538676613
"2013-08-11",10.7270066398894,7.13,"CM",2013,8,"Summer","2013-Summer",0.442596233812001
"2013-08-27",7.58064956340191,5.61,"CM",2013,8,"Summer","2013-Summer",0.816894402110284
"2014-06-11",14.5326753108628,8.21,"CM",2014,6,"Summer","2014-Summer",-0.768647581598514
"2014-07-13",10.8036529022776,8.62,"CM",2014,7,"Summer","2014-Summer",1.88645052596025
"2014-07-29",12.6599028166187,7.45,"CM",2014,7,"Summer","2014-Summer",-0.401124729218886
"2014-08-06",9.90898151737441,7.37,"CM",2014,8,"Summer","2014-Summer",1.17509707002734
"2014-08-14",8.7360538288834,7.19,"CM",2014,8,"Summer","2014-Summer",1.70127081885539
"2014-08-22",7.72139099659098,5.73,"CM",2014,8,"Summer","2014-Summer",0.852159506288682
"2014-08-30",10.039506932559,7.69,"CM",2014,8,"Summer","2014-Summer",1.41651283788526
"2015-06-06",11.1853995813415,7.12,"CM",2015,6,"Summer","2015-Summer",0.156615825916608
"2015-06-22",13.940777098916,8.39,"CM",2015,6,"Summer","2015-Summer",-0.232288887574642
"2015-08-17",13.1229262421759,5.9,"CM",2015,8,"Summer","2015-Summer",-2.22989296994615
"2010-06-08",13.1794915537488,9.61,"Mel",2010,6,"Summer","2010-Summer",1.44605127493867
"2010-06-24",9.53714814575975,8.32,"Mel",2010,6,"Summer","2010-Summer",2.34896335654182
"2010-07-10",12.5864850921073,8.04,"Mel",2010,7,"Summer","2010-Summer",0.233077202628542
"2010-08-11",10.8096647805721,8.15,"Mel",2010,8,"Summer","2010-Summer",1.41283100987722
"2010-08-27",14.0405796435765,6.46,"Mel",2010,8,"Summer","2010-Summer",-2.22237608459201
"2011-06-11",10.7989274277489,8.35,"Mel",2011,6,"Summer","2011-Summer",1.61929554879982
"2011-06-27",13.3021295030238,8.39,"Mel",2011,6,"Summer","2011-Summer",0.152215776605838
"2011-07-13",9.93150359027288,8.91,"Mel",2011,7,"Summer","2011-Summer",2.7015374134465
"2011-07-21",12.2249931814967,9.06,"Mel",2011,7,"Summer","2011-Summer",1.47071730115441
"2011-08-06",11.5809946247852,7.72,"Mel",2011,8,"Summer","2011-Summer",0.518443568933028
"2011-08-14",13.2577985763087,7.78,"Mel",2011,8,"Summer","2011-Summer",-0.43109431146302
"2011-08-22",9.43074100531626,7.45,"Mel",2011,8,"Summer","2011-Summer",1.54302692159051
"2011-08-30",13.3211004540569,8.52,"Mel",2011,8,"Summer","2011-Summer",0.270794111194294
"2012-06-21",14.9643829339867,8.84,"Mel",2012,6,"Summer","2012-Summer",-0.398561806158482
"2012-07-07",12.5567502983257,8.85,"Mel",2012,7,"Summer","2012-Summer",1.06097935550755
"2012-08-08",13.0239343047434,7.44,"Mel",2012,8,"Summer","2012-Summer",-0.630293807741706
"2012-08-24",10.6605860514668,6.56,"Mel",2012,8,"Summer","2012-Summer",-0.0874145354911805
"2013-06-16",9.14880745407507,7.77,"Mel",2013,6,"Summer","2013-Summer",2.03276805290998
"2013-08-11",10.7975808525762,7.16,"Mel",2013,8,"Summer","2013-Summer",0.430106268886931
"2013-08-27",7.80084107838958,5.56,"Mel",2013,8,"Summer","2013-Summer",0.634325728760081
"2014-06-11",13.1399262796291,10.41,"Mel",2014,6,"Summer","2014-Summer",2.26987197439241
"2014-07-13",12.0732825928083,9.15,"Mel",2014,7,"Summer","2014-Summer",1.6520562951966
"2014-07-29",10.8443480073352,8.37,"Mel",2014,7,"Summer","2014-Summer",1.61194959962058
"2014-08-06",8.16774582725468,8.44,"Mel",2014,8,"Summer","2014-Summer",3.29342677265971
"2014-08-14",9.68303725918209,7.49,"Mel",2014,8,"Summer","2014-Summer",1.4311292443885
"2014-08-22",6.81500783575704,5.83,"Mel",2014,8,"Summer","2014-Summer",1.49785725120609
"2014-08-30",9.59089474796006,8.2,"Mel",2014,8,"Summer","2014-Summer",2.19660463576561
"2015-06-06",10.073114345643,7.28,"Mel",2015,6,"Summer","2015-Summer",0.986279132842054
"2015-06-22",14.5519059035036,8.47,"Mel",2015,6,"Summer","2015-Summer",-0.520225567036654
"2015-08-17",14.131772581923,8.17,"Mel",2015,8,"Summer","2015-Summer",-0.567279775391264
"2010-06-08",14.0418536442683,10.4,"Seel",2010,6,"Summer","2010-Summer",1.71685688956883
"2010-06-24",14.4095863092916,10.28,"Seel",2010,6,"Summer","2010-Summer",1.37545947762767
"2010-07-10",11.7919894721653,8.14,"Seel",2010,7,"Summer","2010-Summer",0.811411848376156
"2010-08-11",13.297268726735,9.69,"Seel",2010,8,"Summer","2010-Summer",1.45514225932745
"2010-08-27",12.442152877473,6.06,"Seel",2010,8,"Summer","2010-Summer",-1.66002603290332
"2011-06-11",12.1729408367462,8.76,"Seel",2011,6,"Summer","2011-Summer",1.20205597598358
"2011-06-27",17.5705886496784,9.94,"Seel",2011,6,"Summer","2011-Summer",-0.867656029549923
"2011-07-13",12.2868086377649,9.73,"Seel",2011,7,"Summer","2011-Summer",2.10350063987447
"2011-07-21",13.5682360672897,9.72,"Seel",2011,7,"Summer","2011-Summer",1.32200345327228
"2011-08-06",14.4547739973392,8.12,"Seel",2011,8,"Summer","2011-Summer",-0.81174625669215
