"Date","xETr","ETr","Station","Year","Month","Season","Y.Seas","Residuals"
"2010-01-15",6.54746207358157,2.92,"CM",2010,1,"Winter","2010-Winter",-1.25106394085688
"2010-01-31",3.33710805536454,2.58,"CM",2010,1,"Winter","2010-Winter",0.341764275540888
"2010-02-16",6.25562899068527,3.4,"CM",2010,2,"Winter","2010-Winter",-0.595362689873454
"2010-12-01",5.22267790127927,2.54,"CM",2010,12,"Winter","2010-Winter",-0.833463360256382
"2011-01-18",6.18557038851818,2.46,"CM",2011,1,"Winter","2011-Winter",-1.49318315381558
"2011-02-03",4.89792728393573,2.57,"CM",2011,2,"Winter","2011-Winter",-0.60794375309394
"2011-12-28",4.55855346151827,2.06,"CM",2011,12,"Winter","2011-Winter",-0.913620087805614
"2012-01-13",6.57183710045118,2.52,"CM",2012,1,"Winter","2012-Winter",-1.66573918833476
"2012-01-29",8.4085170826029,2.88,"CM",2012,1,"Winter","2012-Winter",-2.4115321550454
"2012-12-14",2.74780553676133,2.04,"CM",2012,12,"Winter","2012-Winter",0.156560204428177
"2012-12-30",3.34785662127325,1.95,"CM",2012,12,"Winter","2012-Winter",-0.294707014340674
"2013-01-15",5.42482927104431,2.47,"CM",2013,1,"Winter","2013-Winter",-1.02517076985924
"2013-01-31",4.5911734216306,2.59,"CM",2013,1,"Winter","2013-Winter",-0.403259286151066
"2013-12-09",4.15366032475859,2.92,"CM",2013,12,"Winter","2013-Winter",0.190150186411529
"2013-12-25",5.6892254389305,3.32,"CM",2013,12,"Winter","2013-Winter",-0.334353330629175
"2014-01-10",3.67529303804724,2.25,"CM",2014,1,"Winter","2014-Winter",-0.191843635979807
"2014-01-26",2.86641010498267,2.55,"CM",2014,1,"Winter","2014-Winter",0.595153046603512
"2014-02-03",4.77940174795253,2.72,"CM",2014,2,"Winter","2014-Winter",-0.386584177479528
"2015-01-05",4.61683290013629,2.32,"CM",2015,1,"Winter","2015-Winter",-0.688707851571708
"2015-01-21",6.70740195914401,4.19,"CM",2015,1,"Winter","2015-Winter",-0.0773574717223895
"2015-02-26",3.97063016246736,3.9,"CM",2015,2,"Winter","2015-Winter",1.28034546709425
"2015-12-23",2.94557113763471,2.78,"CM",2015,12,"Winter","2015-Winter",0.777493294227038
"2010-01-15",6.82757360006912,2.67,"Mel",2010,1,"Winter","2010-Winter",-1.66970810254779
"2010-01-31",3.38934887230082,2.59,"Mel",2010,1,"Winter","2010-Winter",0.320312129002126
"2010-02-16",6.11636260365199,3.5,"Mel",2010,2,"Winter","2010-Winter",-0.41151586147813
"2010-12-01",5.56855800130239,2.75,"Mel",2010,12,"Winter","2010-Winter",-0.83170420005835
